"Z","M","Y","x1","x2","x3","x4","x5","x6","x7","R_m","R_y"
1,1,21092.0656495605,"0","1","1","0","0","1","0",1,1
1,0,0,"1","0","1","0","0","1","0",1,1
1,0,0,"1","0","0","0","0","1","2",1,1
1,1,18151.2200119263,"1","1","1","0","0","3","2",1,1
1,NA,17061.2956003052,"1","0","2","0","0","1","1",0,1
0,NA,29428.0185506836,"0","0","0","0","0","1","5",0,1
0,0,18138.2243783203,"1","0","1","0","0","1","3",1,1
1,NA,8785.93182258911,"0","1","1","0","0","1","0",0,1
0,0,13186.8842596436,"0","2","1","1","1","1","2",1,1
1,1,49350.7867429687,"0","2","1","0","0","1","4",1,1
0,1,0,"1","0","1","0","0","1","0",1,1
1,0,NA,"1","0","1","0","0","1","1",1,0
0,0,12026.2955485474,"1","1","3","0","0","1","2",1,1
0,0,5586.38825476685,"1","1","0","0","0","1","2",1,1
0,1,7866.38394426269,"1","0","1","0","0","3","2",1,1
1,1,4703.7581296875,"0","1","2","0","0","3","1",1,1
1,1,33809.3958115723,"1","2","1","1","0","1","0",1,1
1,1,10910.7377294678,"1","1","2","1","0","1","2",1,1
0,1,2998.19916403198,"0","2","2","0","0","1","3",1,1
1,1,0,"1","1","0","0","0","3","2",1,1
1,NA,23370.5772736084,"0","1","3","0","2","1","5",0,1
0,NA,33053.5489581299,"0","2","0","0","0","1","5",0,1
1,NA,NA,"0","1","2","0","2","3","5",0,0
1,1,15468.8927554688,"0","2","0","0","0","4","3",1,1
0,1,4495.67073182373,"1","0","1","0","1","3","2",1,1
0,0,9350.44877312622,"0","0","0","0","0","1","0",1,1
0,0,6121.02763070068,"0","0","1","0","0","1","3",1,1
0,1,40971.0808434814,"0","1","1","0","1","1","2",1,1
1,0,NA,"0","0","1","0","0","1","3",1,0
0,0,NA,"0","1","1","0","0","1","3",1,0
1,0,0,"0","0","1","0","0","1","0",1,1
1,NA,0,"0","0","1","0","0","1","0",0,1
1,0,8614.606156073,"1","0","1","1","0","1","0",1,1
1,NA,13324.963640625,"0","0","1","0","0","1","2",0,1
0,NA,18899.4837057495,"0","2","1","0","0","1","3",0,1
1,0,272.826889535522,"0","2","1","0","1","1","3",1,1
1,0,13837.8422955322,"0","0","1","0","0","1","3",1,1
0,0,3287.28576437073,"1","0","1","0","0","1","0",1,1
1,0,NA,"0","1","1","0","0","1","5",1,0
0,NA,NA,"0","1","1","0","0","1","0",0,0
1,NA,NA,"0","2","3","1","0","1","3",0,0
0,NA,NA,"0","0","2","0","1","1","2",0,0
1,NA,0,"0","2","1","0","2","1","5",0,1
1,NA,23333.5134046143,"1","2","0","0","0","1","4",0,1
1,0,NA,"0","0","1","0","0","1","0",1,0
0,0,3821.88025305176,"0","0","1","0","1","1","0",1,1
1,1,21232.3144779053,"0","0","1","0","0","1","0",1,1
1,1,28229.5028970703,"0","1","1","0","0","2","1",1,1
1,0,19007.2155890259,"0","0","2","0","1","1","2",1,1
0,1,8500.75350891724,"0","0","2","0","0","1","3",1,1
1,1,1991.47791899872,"0","1","1","0","1","2","0",1,1
1,0,2817.35554251709,"1","0","1","0","0","1","1",1,1
1,0,14883.3685706177,"1","0","2","0","0","1","0",1,1
0,1,19123.0989974121,"1","1","1","0","0","1","0",1,1
1,NA,NA,"0","1","1","0","1","1","0",0,0
0,1,4991.61884367371,"0","2","1","0","0","1","2",1,1
1,0,6325.87076367187,"0","0","1","0","0","1","0",1,1
0,0,0,"0","2","1","0","0","1","0",1,1
1,0,3697.08285539246,"0","2","0","0","1","1","0",1,1
0,0,27054.7743917725,"0","0","1","0","0","1","1",1,1
0,1,4330.73205703125,"0","2","1","1","1","3","2",1,1
1,1,NA,"0","0","1","0","1","1","1",1,0
0,NA,NA,"1","1","0","0","0","1","1",0,0
1,NA,26007.4142402344,"0","2","1","0","1","3","2",0,1
1,1,NA,"0","1","0","0","0","1","5",1,0
1,1,3541.18168721008,"1","2","1","1","1","2","2",1,1
0,0,0,"0","2","1","1","0","1","5",1,1
0,0,22257.358544751,"0","1","2","0","1","1","1",1,1
1,0,0,"1","0","1","0","0","1","0",1,1
1,NA,14398.2184743896,"0","0","0","0","0","1","0",0,1
1,NA,NA,"0","0","1","0","0","1","2",0,0
1,NA,NA,"0","0","3","0","0","1","0",0,0
0,1,9225.22819702148,"1","0","1","0","0","1","5",1,1
0,1,26351.8982114502,"1","1","1","0","0","1","0",1,1
1,0,0,"0","0","2","0","0","1","0",1,1
1,0,30596.9593864746,"1","2","1","1","0","1","2",1,1
1,1,0,"0","2","3","0","0","3","0",1,1
0,1,26163.3692731201,"0","2","0","0","0","1","3",1,1
0,1,35389.2314638916,"1","1","2","0","0","3","2",1,1
0,0,NA,"0","0","0","0","1","1","3",1,0
1,1,7382.20712750244,"1","0","1","0","0","1","0",1,1
1,1,24738.6862553467,"1","1","1","0","0","3","2",1,1
0,1,3162.56482982483,"0","2","1","0","1","3","5",1,1
1,0,0,"0","1","1","0","1","1","0",1,1
0,1,31173.6881463135,"0","0","1","0","0","1","0",1,1
1,0,30285.2127722168,"1","2","1","1","0","1","2",1,1
1,1,0,"1","0","2","0","0","1","3",1,1
1,1,1054.31179394531,"0","0","2","0","0","1","0",1,1
1,NA,NA,"1","1","1","0","0","1","3",0,0
0,0,25014.6246054199,"0","1","0","0","1","1","4",1,1
0,NA,21975.9396158936,"0","1","1","0","0","1","1",0,1
0,1,NA,"1","1","2","1","0","2","0",1,0
1,1,7542.64717086182,"0","0","2","0","0","1","0",1,1
1,0,0,"0","0","1","0","0","1","0",1,1
1,NA,3373.797740625,"0","1","3","0","0","1","0",0,1
1,NA,16297.9175945435,"0","1","1","1","2","1","5",0,1
1,1,21451.3147408447,"0","1","1","0","1","1","3",1,1
0,0,579.871486669922,"0","2","1","0","0","2","5",1,1
1,0,0,"1","2","1","0","0","1","0",1,1
1,1,18358.1743936157,"1","2","1","1","0","3","0",1,1
0,NA,53544.6752115234,"0","0","0","0","0","1","1",0,1
0,1,33833.1755302734,"0","0","2","0","1","1","1",1,1
1,NA,0,"0","2","2","0","1","1","3",0,1
0,NA,44748.0515548828,"0","0","2","0","0","1","0",0,1
1,0,22485.2941571045,"0","2","3","1","0","1","5",1,1
1,1,54500.8318949707,"0","1","1","0","0","3","3",1,1
1,1,37213.5509560547,"1","2","3","0","0","3","3",1,1
0,NA,NA,"0","1","2","0","1","2","3",0,0
1,1,NA,"1","1","3","0","0","3","0",1,0
1,NA,NA,"1","0","2","0","2","1","5",0,0
1,NA,13933.0168924438,"1","0","1","0","0","1","2",0,1
